Measurement (hr),radiation [W/m²],RH [%],temp greenhouse [°C] 
215,0,89,19.2
216,0,94,19.4
217,19.35,95,19.4
218,41.42,96,19.84
219,44.2,83,18.9
220,55,88,19.5
221,178,88,21.04
222,134.3,95,21.9
223,185.33,94,22.2
224,216.88,93,23.3
225,148.1,93,23.74
226,129.42,93,22.3
227,79.73,93,20.9
228,80.75,96,20.9
229,37.25,94,20.7
230,11,91,21.7
231,3,93,22.1
232,0,88,20.8
233,0,89,20.8
234,1,93,20.5
235,1,87,21.1
236,1,88,21.2
237,0,89,21.6
238,0,89,21.8
239,1,88,20.4
240,2,88,22.2
241,12.05,86,22.4
242,36.07,86,22.3
243,128.02,85,21.9
244,140,85,21.7
245,120,82,21.8
246,203.07,81,22.7
247,159.97,77,22.4
248,275.45,72,23.9
249,408.87,67,25.79
250,600.92,71,27.28
251,539.9,70,26.31
252,431.23,74,27.1
253,283.4,79,26.41
254,129.3,83,24.7
255,12.17,75,23.82
256,0,82,22.5
257,0,84,21.4
258,0,91,20.8
259,0,91,19.9
260,0,82,19.1
261,0,84,19.2
262,0,82,20
263,0,82,19.98
264,0,77,21.08
265,24,78,21.3
266,108,79,22.27
267,68.13,78,21
268,227.3,76,22.67
269,186.85,82,22.93
270,280.33,80,24.1
271,370.18,79,25.01
272,402.8,80,25.91
273,236.58,79,24.1
274,194.87,78,23.01
275,100.5,83,22.8
276,136.13,86,23.1
277,181.88,92,24.3
278,95,95,24.4
279,4,98,23.8
280,0,98,23.2
281,0,98,22.4
282,0,98,21.7
283,0,98,21.6
284,0,97,21.5
285,0,97,22.5
286,0,97,21.1
287,0,97,20.8
288,0,86,21.4
289,16.9,78,21.8
290,68.77,77,22.8
291,133.33,72,20.7
292,287.3,72,20.72
293,521.83,68,22.72
294,522.65,68,26.1
295,219.6,67,23.62
296,617.62,63,28.62
297,398.83,67,26.85
298,540.33,68,26.03
299,575.75,71,26.85
300,422.8,71,27.5
301,266.65,86,24.7
302,117.47,90,23.88
303,8.25,96,23.4
304,0,98,22.5
305,0,99,20.7
306,0,98,20.13
307,0,97,20
308,0,92,19.9
309,0,90,19.8
310,0,95,20.4
311,0,78,20.7
312,0,69,21.3
313,29.58,65,20.64
314,145.7,59,21.7
315,323.75,69,23.1
316,480.9,60,22.8
317,528.57,64,24.98
318,797.67,67,28.69
319,247,70,24.52
320,527.67,55,26.88
321,792.18,54,27.68
322,578.67,58,27.48
323,457.8,63,26.32
324,214.82,69,23.6
325,253.47,73,24.8
326,108.5,78,23.8
327,5.27,83,22.83
328,0,84,22.4
329,0,84,22.4
330,0,83,21.7
331,0,83,21.17
332,0,85,21.7
333,0,84,21.3
334,0,85,20.8
335,0,82,20.7
336,0,75,20.8
337,27.13,76,20.3
338,121.55,69,21.9
339,333.7,63,22.8
340,381.6,58,22.46
341,546.92,56,25.76
342,671.4,55,27.4
343,815.95,57,29.55
344,508.93,56,27.79
345,692.03,60,27.6
346,467.5,62,27.8
347,526,66,26.2
348,397.07,69,26.45
349,253.65,74,24.64
350,102.7,79,24.1
351,4,83,23.7
352,0,88,22.5
353,0,85,19.96
354,0,87,18.76
355,0,91,19
356,0,89,20.3
357,0,89,20.8
358,0,89,20.6
359,0,86,20.5
360,0,75,20.9
361,25.27,66,20.8
362,140.75,54,21.52
363,299.47,47,21.82
364,460.65,46,22.82
365,582.4,46,25.62
366,671.37,45,27.98
367,735.17,43,29.7
368,749,40,29.61
369,717.87,44,28.19
370,636.88,45,29.5
371,534.67,47,28.3
372,409.67,58,28.52
373,257.7,66,26.5
374,101.73,66,24.6
375,1,67,23.7
376,0,69,22.2
377,0,77,21.6
378,0,78,21
379,0,81,20.7
380,0,82,20.2
381,0,83,20.7
382,0,86,20.5
383,0,80,20.7
384,0,73,20.1
385,24.95,69,19.8
386,142.87,59,21
387,313.75,57,21.89
388,475.7,50,23.49
389,580.8,50,26.1
390,667,46,28.1
391,728.13,46,29.5
392,715,50,29.82
393,655.67,73,29
394,555.9,74,29.96
395,457.2,78,28.74
396,414.22,68,29.98
397,242,76,27.3
398,110.5,80,25.1
399,5.27,88,24.5
400,0,92,23.27
401,0,97,23.1
402,0,96,22.8
403,0,97,22.3
404,0,97,21.7
405,0,97,21.23
406,0,98,20.9
407,0,90,20.8
408,0,84,20.9
409,22.65,82,20.4
410,138.8,78,21.66
411,299.85,70,20.8
412,290.6,65,22
413,252.5,61,23.04
414,641.97,60,26.91
415,599.15,67,29.95
416,338.93,68,27.2
